t,gt_x,gt_y,gt_yaw,bel_cx,bel_cy,bel_ca,bel_x,bel_y,bel_yaw,bel_prob,err_x,err_y,err_yaw,err_xy
0,0.28660112619400024,-0.088655985891819,-38.96110315795065,6,4,6,0.3048000000000003,1.3877787807814457e-16,-50.0,0.9999999999999999,-0.01819887380600005,-0.08865598589181914,370.2749741069582,0.09050460122146911
1,0.5048763751983643,-0.5105330944061279,297.3566841583306,6,2,5,0.3048000000000003,-0.6095999999999999,-70.0,1.0,0.207735214424133,0.08426421127319328,727.3566941762433,0.22417487953232823
2,0.5125352144241333,-0.5253357887268066,634.8187638021153,6,2,4,0.3048000000000003,-0.6095999999999999,-90.0,1.0,0.207735214424133,0.08426421127319328,1084.436747679371,0.22417487953232823
3,0.5424457788467407,-0.9108439683914185,994.4367476793709,7,1,4,0.6096,-0.9144,-90.0,1.0,-0.06663852176666263,-0.003090661144256601,1444.4367850180402,0.06671015492078089
4,0.8027803897857666,-1.0572031736373901,1439.9016853476026,8,1,9,0.9144000000000002,-0.9144,10.0,1.0,-0.11161961021423361,-0.14280317363739015,1789.9017226862718,0.18125033457979614
5,1.5808205604553223,-0.9021892547607422,1848.1429663034783,10,1,11,1.5240000000000002,-0.9144,50.0,0.9999999999999908,0.05682056045532202,0.012210745239257803,2158.458066608182,0.05811779753014529
6,1.6626064777374268,-0.544761061668396,2237.1120762142195,11,3,13,1.8288000000000004,-0.30479999999999985,90.0,1.0,-0.1602454555511479,-0.2139662839889528,2507.112004269862,0.26732036343839594
7,1.7488491535186768,-0.1678350865840912,2602.5562660950095,11,3,13,1.8288000000000004,-0.30479999999999985,90.0,1.0,-0.07995084648132367,0.13696491341590866,2872.6517075160054,0.15859232440476917
8,1.7624907493591309,0.3153058588504791,2984.7152949126544,11,5,14,1.8288000000000004,0.30480000000000007,110.0,0.9956541283319017,-0.06630925064086957,0.010505858850479055,3235.574843256478,0.06713635222991975
9,1.7716481685638428,0.6396768093109131,3383.767512566762,11,7,16,1.8288000000000004,0.9144,150.0,1.0,-0.05715183143615765,-0.2747231906890869,3593.767659188458,0.28060499521373344
10,1.3750587701797485,0.9302806854248047,3754.465156108045,10,7,16,1.5240000000000002,0.9144,150.0,1.0,-0.1489412298202517,0.015880685424804697,3965.0383829218617,0.14978546695167272
11,0.4769122004508972,0.8725273609161377,4207.839780684231,7,7,3,0.6096,0.9144,-110.0,1.0,-0.13268779954910281,-0.041872639083862295,4681.277097062331,0.1391379533162332
12,0.26826852560043335,0.2569246292114258,4615.595298586336,6,5,5,0.3048000000000003,0.30480000000000007,-70.0,1.0,-0.03653147439956694,-0.04787537078857429,5045.595445208032,0.06022125662878256
13,0.01751076430082321,-0.01059173047542572,4906.852050079955,5,3,2,1.3877787807814457e-16,-0.30479999999999985,-130.0,0.999999974847714,-0.0007261596620084243,0.27475253115892395,5396.852196701651,0.2747534907623381
14,-0.3743574917316437,-0.15297281742095947,5243.547809819621,4,3,1,-0.30479999999999985,-0.30479999999999985,-150.0,1.0,-0.06955749173164383,0.15182718257904038,5753.738546039917,0.16700220964372586
15,-0.7662521004676819,-0.1193595677614212,5580.624748756487,2,3,0,-0.9143999999999998,-0.30479999999999985,-170.0,0.9999937394631603,0.14814789953231788,0.18544043223857865,6110.624895378183,0.2373519623779602
