time:1154371993, acc_x:00003.91, acc_y:-00001.95, acc_z:01019.04
time:1154379543, acc_x:-00004.88, acc_y:00006.84, acc_z:01023.44
time:1154387086, acc_x:-00008.30, acc_y:00016.11, acc_z:01021.00
time:1154394631, acc_x:-00012.21, acc_y:-00005.37, acc_z:01020.51
time:1154402267, acc_x:-00006.84, acc_y:00003.42, acc_z:01030.27
time:1154409815, acc_x:-00005.86, acc_y:00007.32, acc_z:01020.51
time:1154417358, acc_x:-00006.35, acc_y:00018.07, acc_z:01016.11
time:1154424909, acc_x:-00016.60, acc_y:-00000.98, acc_z:01032.23
time:1154432545, acc_x:-00023.44, acc_y:00006.84, acc_z:01023.93
time:1154440089, acc_x:-00018.07, acc_y:00011.23, acc_z:01021.00
time:1154447637, acc_x:-00003.91, acc_y:00018.55, acc_z:01027.34
time:1154455181, acc_x:-00013.67, acc_y:00015.14, acc_z:01021.97
time:1154462724, acc_x:-00012.21, acc_y:00008.79, acc_z:01016.60
time:1154470267, acc_x:-00008.30, acc_y:00006.35, acc_z:01022.95
time:1154477815, acc_x:-00012.70, acc_y:00012.70, acc_z:01017.09
time:1154485362, acc_x:-00003.91, acc_y:00002.44, acc_z:01019.04
time:1154492911, acc_x:-00009.28, acc_y:00006.84, acc_z:01012.70
time:1154500449, acc_x:-00003.91, acc_y:00013.67, acc_z:01019.53
time:1154507993, acc_x:-00012.21, acc_y:00015.63, acc_z:01016.11
time:1154515543, acc_x:-00011.23, acc_y:-00008.79, acc_z:01019.53
time:1154523163, acc_x:-00012.70, acc_y:00007.32, acc_z:01028.32
time:1154530710, acc_x:-00011.23, acc_y:00010.25, acc_z:01019.53
time:1154538258, acc_x:-00004.39, acc_y:00000.98, acc_z:01016.60
time:1154545809, acc_x:-00011.72, acc_y:00012.70, acc_z:01024.90
time:1154553356, acc_x:-00003.42, acc_y:00009.28, acc_z:01018.55
time:1154560900, acc_x:-00013.18, acc_y:00018.55, acc_z:01022.46
