time:8810462, acc_x:-9.50, acc_y:9.58, acc_z:1020.24, raw_acc_x:-12.21, raw_acc_y:5.86, raw_acc_z:1019.04
time:8821576, acc_x:-9.06, acc_y:8.84, acc_z:1020.59, raw_acc_x:-7.32, raw_acc_y:5.86, raw_acc_z:1021.97
time:8832591, acc_x:-8.52, acc_y:10.39, acc_z:1020.28, raw_acc_x:-6.35, raw_acc_y:16.60, raw_acc_z:1019.04
time:8843791, acc_x:-9.45, acc_y:10.85, acc_z:1021.01, raw_acc_x:-13.18, raw_acc_y:12.70, raw_acc_z:1023.93
time:8855075, acc_x:-11.76, acc_y:10.34, acc_z:1022.28, raw_acc_x:-21.00, raw_acc_y:8.30, raw_acc_z:1027.34
time:8866362, acc_x:-10.29, acc_y:10.13, acc_z:1020.07, raw_acc_x:-4.39, raw_acc_y:9.28, raw_acc_z:1011.23
time:8877563, acc_x:-9.31, acc_y:7.71, acc_z:1021.33, raw_acc_x:-5.37, raw_acc_y:-1.95, raw_acc_z:1026.37
time:8888666, acc_x:-10.08, acc_y:7.63, acc_z:1019.31, raw_acc_x:-13.18, raw_acc_y:7.32, raw_acc_z:1011.23
time:8899862, acc_x:-8.75, acc_y:5.52, acc_z:1017.89, raw_acc_x:-3.42, raw_acc_y:-2.93, raw_acc_z:1012.21
time:8910970, acc_x:-10.03, acc_y:7.84, acc_z:1017.53, raw_acc_x:-15.14, raw_acc_y:17.09, raw_acc_z:1016.11
time:8922252, acc_x:-11.73, acc_y:7.24, acc_z:1015.39, raw_acc_x:-18.55, raw_acc_y:4.88, raw_acc_z:1006.84
time:8933447, acc_x:-11.83, acc_y:8.34, acc_z:1016.51, raw_acc_x:-12.21, raw_acc_y:12.70, raw_acc_z:1021.00
time:8944728, acc_x:-11.12, acc_y:8.04, acc_z:1016.92, raw_acc_x:-8.30, raw_acc_y:6.84, raw_acc_z:1018.55
time:8955836, acc_x:-9.29, acc_y:5.84, acc_z:1017.35, raw_acc_x:-1.95, raw_acc_y:-2.93, raw_acc_z:1019.04
