sensor,mode,true_mm,mean_mm,std_mm,error_mm,n
S1,short,—,1242.9,1.70,—,255
S2,short,—,1209.4,1.14,—,255
S1,long,—,1242.9,1.70,—,255
S2,long,—,1209.4,1.12,—,255
S1,short,—,941.7,1.17,—,255
S2,short,—,965.6,1.68,—,255
S1,long,—,938.5,2.48,—,255
S2,long,—,963.4,2.08,—,255
S1,short,—,709.9,1.42,—,255
S2,short,—,714.2,1.18,—,255
S1,long,—,706.9,2.30,—,255
S2,long,—,714.7,2.10,—,255
S1,long,—,358.8,1.90,—,255
S2,long,—,371.1,2.19,—,255
S1,short,—,359.5,2.21,—,255
S2,short,—,370.9,1.95,—,255
