0,1,2
0,2.8125,643.4212646484375
1,8.4375,602.1549682617188
2,14.0625,574.91259765625
3,19.6875,558.7574462890625
4,25.3125,552.0654907226562
5,30.9375,551.51171875
6,36.5625,553.8804321289062
7,42.1875,558.6867065429688
8,47.8125,567.4806518554688
9,53.4375,581.9669189453125
10,59.0625,603.8695068359375
11,64.6875,636.1446533203125
12,70.3125,683.1758422851562
13,75.9375,748.1142578125
14,81.5625,830.5930786132812
15,87.1875,929.7000732421875
16,92.8125,1043.369140625
17,98.4375,1160.0269775390625
18,104.0625,1259.5621337890625
19,109.6875,1331.0390625
20,115.3125,1387.0367431640625
21,120.9375,1450.8704833984375
22,126.5625,1526.3167724609375
23,132.1875,1590.8079833984375
24,137.8125,1618.70166015625
25,143.4375,1597.9482421875
26,149.0625,1527.536865234375
27,154.6875,1422.1307373046875
28,160.3125,1319.6790771484375
29,165.9375,1260.4744873046875
30,171.5625,1261.561767578125
31,177.1875,1316.9144287109375
32,182.8125,1406.741455078125
33,188.4375,1505.4407958984375
34,194.0625,1586.49169921875
35,199.6875,1620.6177978515625
36,205.3125,1578.141357421875
37,210.9375,1451.88330078125
38,216.5625,1283.3533935546875
39,222.1875,1152.01806640625
40,227.8125,1129.0113525390625
41,233.4375,1230.9046630859375
42,239.0625,1411.251953125
43,244.6875,1596.853759765625
44,250.3125,1723.543212890625
45,255.9375,1747.5406494140625
46,261.5625,1662.4801025390625
47,267.1875,1519.4298095703125
48,272.8125,1395.050048828125
49,278.4375,1328.2037353515625
50,284.0625,1308.6112060546875
51,289.6875,1312.2935791015625
52,295.3125,1328.66259765625
53,300.9375,1357.1947021484375
54,306.5625,1393.1451416015625
55,312.1875,1427.4991455078125
56,317.8125,1450.89013671875
57,323.4375,1449.69384765625
58,329.0625,1405.5938720703125
59,334.6875,1305.4805908203125
60,340.3125,1152.086181640625
61,345.9375,973.331787109375
62,351.5625,816.2205200195312
63,357.1875,708.7848510742188
